,,,,,,STORAGE,STORAGE,STORAGE,SUPPORTED FEATURES,SUPPORTED FEATURES,SUPPORTED FEATURES,SUPPORTED FEATURES,
AOS Version,OS Vendor,OS Family,OS Status,OS Bits,Platform,SCSI,IDE,PCI,Hot Add Memory,Hot Add vCPU,UEFI,Secure Boot,
"AOS 6.6","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 6.6","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.10","Red Hat","Red Hat Enterprise Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.9","Red Hat","Red Hat Enterprise Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.5","Red Hat","Red Hat Enterprise Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.0","Red Hat","Red Hat Enterprise Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.10","Red Hat","Red Hat Enterprise Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.5","Red Hat","Red Hat Enterprise Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.5","Red Hat","Red Hat Enterprise Linux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.5","Red Hat","Red Hat Enterprise Linux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.10","RockyLinux","RockyLinux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.16","SUSE","SUSE Linux Enterprise 11","Legacy OS","64","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 5.8","SUSE","SUSE Linux Enterprise 11","Legacy OS","32","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 6.1","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 7.1","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 7.5","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 6.10","Red Hat","Red Hat Enterprise Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.6","Red Hat","Red Hat Enterprise Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.0","Red Hat","Red Hat Enterprise Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.17","Red Hat","Red Hat Enterprise Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.20","Red Hat","Red Hat Enterprise Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.8","Red Hat","Red Hat Enterprise Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.7","RockyLinux","RockyLinux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.1","RockyLinux","RockyLinux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.11","SUSE","SUSE Linux Enterprise 11","Legacy OS","32","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 6.7","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.9","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.8","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.10","Red Hat","Red Hat Enterprise Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.1","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.9","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.11","Red Hat","Red Hat Enterprise Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.7","Red Hat","Red Hat Enterprise Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.1","Red Hat","Red Hat Enterprise Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.3","Red Hat","Red Hat Enterprise Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.1","Red Hat","Red Hat Enterprise Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.17","SUSE","SUSE Linux Enterprise 11","Legacy OS","32","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 6.0","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 7.0","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 7.3","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.11","Red Hat","Red Hat Enterprise Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.18","Red Hat","Red Hat Enterprise Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.8","Red Hat","Red Hat Enterprise Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.1","Red Hat","Red Hat Enterprise Linux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.16","SUSE","SUSE Linux Enterprise 11","Legacy OS","32","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 5.17","SUSE","SUSE Linux Enterprise 11","Legacy OS","64","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 5.9","Red Hat","Red Hat Enterprise Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.3","Red Hat","Red Hat Enterprise Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.17","Red Hat","Red Hat Enterprise Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.18","Red Hat","Red Hat Enterprise Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.19","Red Hat","Red Hat Enterprise Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.6","RockyLinux","RockyLinux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.5","RockyLinux","RockyLinux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.20","SUSE","SUSE Linux Enterprise 11","Legacy OS","64","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 5.6","SUSE","SUSE Linux Enterprise 11","Legacy OS","64","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 6.5","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 6.10","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 7.0","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 7.1","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.19","Red Hat","Red Hat Enterprise Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.5","Red Hat","Red Hat Enterprise Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.0","Red Hat","Red Hat Enterprise Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.5","Red Hat","Red Hat Enterprise Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.10","Red Hat","Red Hat Enterprise Linux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.0","Red Hat","Red Hat Enterprise Linux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.10","RockyLinux","RockyLinux 10","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.10","RockyLinux","RockyLinux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.16","RockyLinux","RockyLinux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.5","RockyLinux","RockyLinux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.8","RockyLinux","RockyLinux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.5","RockyLinux","RockyLinux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.0","Red Hat","Red Hat Enterprise Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.10","Red Hat","Red Hat Enterprise Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.11","Red Hat","Red Hat Enterprise Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.15","Red Hat","Red Hat Enterprise Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.20","Red Hat","Red Hat Enterprise Linux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.0","Red Hat","Red Hat Enterprise Linux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.15","Red Hat","Red Hat Enterprise Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 5.5","Red Hat","Red Hat Enterprise Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.6","Red Hat","Red Hat Enterprise Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.1","Red Hat","Red Hat Enterprise Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.6","Red Hat","Red Hat Enterprise Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.7","Red Hat","Red Hat Enterprise Linux 6","-","32","x86","Recommended","Supported","Supported","-","Supported","-","-",
"AOS 6.1","Red Hat","Red Hat Enterprise Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.9","Red Hat","Red Hat Enterprise Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.5","Red Hat","Red Hat Enterprise Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.3","Red Hat","Red Hat Enterprise Linux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.15","RockyLinux","RockyLinux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.18","RockyLinux","RockyLinux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.19","RockyLinux","RockyLinux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.10","RockyLinux","RockyLinux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.0","RockyLinux","RockyLinux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.0","SUSE","SUSE Linux Enterprise 11","Legacy OS","64","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 6.1","Red Hat","Red Hat Enterprise Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.5","Red Hat","Red Hat Enterprise Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.5","Red Hat","Red Hat Enterprise Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.1","Red Hat","Red Hat Enterprise Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.16","Red Hat","Red Hat Enterprise Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.18","Red Hat","Red Hat Enterprise Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.6","Red Hat","Red Hat Enterprise Linux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.19","SUSE","SUSE Linux Enterprise 11","Legacy OS","64","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 5.5","SUSE","SUSE Linux Enterprise 11","Legacy OS","32","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 5.8","SUSE","SUSE Linux Enterprise 11","Legacy OS","64","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 6.8","Red Hat","Red Hat Enterprise Linux 5","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 6.5","Red Hat","Red Hat Enterprise Linux 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.15","Red Hat","Red Hat Enterprise Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.8","Red Hat","Red Hat Enterprise Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.9","Red Hat","Red Hat Enterprise Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.7","Red Hat","Red Hat Enterprise Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 7.3","Red Hat","Red Hat Enterprise Linux 7","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.19","Red Hat","Red Hat Enterprise Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.6","Red Hat","Red Hat Enterprise Linux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.0","RockyLinux","RockyLinux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.3","RockyLinux","RockyLinux 8","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 6.6","RockyLinux","RockyLinux 9","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","Supported",
"AOS 5.19","SUSE","SUSE Linux Enterprise 11","Legacy OS","32","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 5.9","SUSE","SUSE Linux Enterprise 11","Legacy OS","32","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 6.10","SUSE","SUSE Linux Enterprise 11","Legacy OS","64","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 6.7","SUSE","SUSE Linux Enterprise 11","Legacy OS","64","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 6.6","SUSE","SUSE Linux Enterprise 11","Legacy OS","32","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 5.11","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.6","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.8","SUSE","SUSE Linux Enterprise 11","Legacy OS","64","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 7.0","SUSE","SUSE Linux Enterprise 11","Legacy OS","32","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 7.5","SUSE","SUSE Linux Enterprise 11","Legacy OS","32","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 7.3","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.1","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.15","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.20","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.1","SUSE","SUSE Linux Enterprise 11","Legacy OS","64","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 5.6","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.0","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.10","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.10","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.3","SUSE","SUSE Linux Enterprise 11","Legacy OS","64","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 7.5","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.9","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.5","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.9","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.6","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.11","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.18","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.10","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.15","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.17","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.19","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.1","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.6","SUSE","SUSE Linux Enterprise 11","Legacy OS","64","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 6.1","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.6","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.5","SUSE","SUSE Linux Enterprise 11","Legacy OS","64","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 7.5","SUSE","SUSE Linux Enterprise 11","Legacy OS","64","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 5.16","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.17","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.8","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.8","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.0","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.7","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.3","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.18","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.3","SUSE","SUSE Linux Enterprise 11","Legacy OS","32","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 6.1","SUSE","SUSE Linux Enterprise 11","Legacy OS","64","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 7.1","SUSE","SUSE Linux Enterprise 11","Legacy OS","32","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 5.19","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.0","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.7","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.16","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.8","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.10","SUSE","SUSE Linux Enterprise 11","Legacy OS","32","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 6.7","SUSE","SUSE Linux Enterprise 11","Legacy OS","32","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 6.5","SUSE","SUSE Linux Enterprise 11","Legacy OS","32","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 6.8","SUSE","SUSE Linux Enterprise 11","Legacy OS","32","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 5.5","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.5","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.10","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.5","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 5.8","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.0","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.1","SUSE","SUSE Linux Enterprise 12","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.0","SUSE","SUSE Linux Enterprise 11","Legacy OS","64","x86","-","Supported","Recommended","-","Supported","-","-",
"AOS 5.20","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 6.10","SUSE","SUSE Linux Micro 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 7.5","SUSE","SUSE Linux Enterprise 16","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 7.5","SUSE","SUSE Linux Enterprise 15","-","64","x86","Recommended","Supported","Supported","Supported","Supported","-","-",
"AOS 7.3","SUSE","SUSE Linux Micro 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 7.5","SUSE","SUSE Linux Micro 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 7.1","Oracle","Solaris x86 11","-","64","x86","-","Recommended","-","-","-","Supported","-",
"AOS 5.17","Canonical","Ubuntu 12.04","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.19","Canonical","Ubuntu 12.04","Legacy OS","64","x86","-","Supported","Recommended","-","-","Supported","-",
"AOS 6.10","SUSE","SUSE Linux Enterprise 16","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 7.0","Oracle","Solaris x86 11","-","64","x86","-","Recommended","-","-","-","Supported","-",
"AOS 5.15","Canonical","Ubuntu 12.04","Legacy OS","64","x86","-","Supported","Recommended","-","-","Supported","-",
"AOS 5.16","Canonical","Ubuntu 12.04","Legacy OS","64","x86","-","Supported","Recommended","-","-","Supported","-",
"AOS 5.18","Canonical","Ubuntu 12.04","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.16","Canonical","Ubuntu 12.04","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.10","Canonical","Ubuntu 12.04","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 7.0","SUSE","SUSE Linux Enterprise 16","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 5.10","Canonical","Ubuntu 12.04","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.20","Canonical","Ubuntu 12.04","Legacy OS","64","x86","-","Supported","Recommended","-","-","Supported","-",
"AOS 5.5","Canonical","Ubuntu 12.04","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.9","Canonical","Ubuntu 12.04","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.5","Canonical","Ubuntu 12.04","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 7.3","Oracle","Solaris x86 11","-","64","x86","-","Recommended","-","-","-","Supported","-",
"AOS 5.11","Canonical","Ubuntu 12.04","Legacy OS","64","x86","-","Supported","Recommended","-","-","Supported","-",
"AOS 5.19","Canonical","Ubuntu 12.04","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.6","Canonical","Ubuntu 12.04","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.8","Canonical","Ubuntu 12.04","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 6.0","Canonical","Ubuntu 12.04","Legacy OS","64","x86","-","Supported","Recommended","-","-","Supported","-",
"AOS 5.11","Canonical","Ubuntu 12.04","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.9","Canonical","Ubuntu 12.04","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 7.3","SUSE","SUSE Linux Enterprise 16","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 6.10","Oracle","Solaris x86 11","-","64","x86","-","Recommended","-","-","-","Supported","-",
"AOS 7.0","SUSE","SUSE Linux Micro 6","-","64","x86","Recommended","Supported","Supported","Supported","Supported","Supported","-",
"AOS 5.6","Canonical","Ubuntu 12.04","Legacy OS","64","x86","-","Supported","Recommended","-","-","-","-",
"AOS 7.5","Oracle","Solaris x86 11","-","64","x86","-","Recommended","-","-","-","Supported","-",
"AOS 5.20","Canonical","Ubuntu 12.04","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.8","Canonical","Ubuntu 12.04","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.17","Canonical","Ubuntu 12.04","Legacy OS","64","x86","-","Supported","Recommended","-","-","Supported","-",
"AOS 5.18","Canonical","Ubuntu 12.04","Legacy OS","64","x86","-","Supported","Recommended","-","-","Supported","-",
"AOS 5.15","Canonical","Ubuntu 12.04","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 6.7","Canonical","Ubuntu 12.04","Legacy OS","32","x86","-","Supported","Recommended","-","-","-","-",
"AOS 5.15","Canonical","Ubuntu 14.04","-","64","x86","Recommended","Supported","Supported","-","-","-","-",
